platform,game,date,rtt,bitrate,fps,jb_delay,max_decode_ms
stadia,acv,0908,8.19920976324762,18824797.904392496,60.520500032253565,11.00441640378549,14.284253527019573
stadia,acv,0909,8.433406731676628,16998198.14524174,61.165300530378055,16.5192337859833,5.654360837733499
stadia,acv,0911,8.158236729713243,17435870.14751104,61.41247662084088,10.996150013534974,14.14495376075175
stadia,acv,0912,8.201806526806529,18543556.096684344,60.73709490136845,26.396566781720132,1.20414930422408
stadia,acv,0913,7.767512111712738,18275239.803958505,60.48452619970049,19.185833971291547,0.9853348882118104
stadia,acv,0914,8.207123316498317,16454218.27732999,61.707474298202136,24.97137979091492,5.270153794362389
stadia,acv,0921,8.276864995469644,18352816.332649786,61.43238556387546,24.1435567609854,13.551970392997237
stadia,acv,0923,7.8469021424435415,16558948.775317978,60.745804873241674,13.690679069446924,1.0
stadia,acv,0924,8.145130920859076,16245293.606206862,60.93635532347308,24.53784140296577,1.030399414790431
stadia,acv,0928,8.023359811709323,19567298.556453638,60.58781310762039,25.458510619484667,0.9755663430420713
stadia,acv,0929,7.853833000854946,20211298.571190927,60.566423051638665,11.000208986415883,0.7996928371347817
stadia,acv,0930,8.172128811627244,20333153.360690024,60.585145059701624,11.000052246603971,1.0
stadia,acv,1007,8.143110348770728,20389000.148069974,60.544664661329506,11.006385854573539,1.0
stadia,acv,1010,7.771501852379596,20990225.6517953,60.60159548847163,11.005068007687031,0.9955590386624871
stadia,acv,1025,8.733612440191385,9105526.494158836,60.62829079897927,11.0,4.245641363585402
stadia,acv,1026,8.516626794258377,9141913.139676059,60.63164148942278,11.568264140955838,4.194456427955134
stadia,acv,1027,8.287200956937799,9309762.206862211,60.60222536131871,11.0,4.600919434857635
stadia,acv,1028,8.49904306220096,8553949.443495633,60.629471850124084,11.0,4.131309318377912
stadia,acv,1101,8.526408345752609,8521582.123980882,60.62011543886664,11.426612021857924,3.996830601092896
stadia,acv,1102,8.835047846889955,8481743.015689418,60.61220799332666,11.260087719298246,4.0
stadia,acv,1104,8.57979797979798,8556938.577166984,60.624843033135,11.32875816993464,4.0
stadia,acv,1105,8.59919523099851,8519653.175321009,60.63802089833695,11.0,4.003300188121473
stadia,acv,1108,8.625514157973177,8624552.243465079,60.62700135283483,11.268199408761086,4.009180327868853
stadia,acv,1109,8.279374068554397,8643205.52788586,60.62074572930856,11.20016393442623,4.019836065573771
stadia,acv,1110,8.280678067806775,8597164.309113001,60.588661576632774,11.091694169416941,4.020407040704071
stadia,crew2,0909,8.45752508361204,15370152.66934812,60.989976622444594,21.677950274660372,1.0195025083612042
stadia,crew2,0911,7.839783978397838,16056289.460275235,60.57145058804326,11.04913331879885,1.0642745877709618
stadia,crew2,0912,8.208646727864968,15769240.472416425,60.65878265164372,20.96483317947066,1.0
stadia,crew2,0913,8.198363636363634,15463812.863794034,60.70121646979203,19.662726937371026,0.9253599635312677
stadia,crew2,0914,8.80330312774043,15821374.926502252,60.42045737036067,11.0,14.393752492281555
stadia,crew2,0921,8.611083718541346,15042322.126439491,60.93359432993453,18.659501131936654,1.0602067101519277
stadia,crew2,0923,7.653636363636362,15950469.021400077,60.49478055433555,11.0,1.0
stadia,crew2,0924,8.537959060806743,16021922.542585773,60.80435962330749,22.144747760661932,14.904816130942764
stadia,crew2,0928,7.66095041322314,15823318.867781974,60.518622750435306,13.708493385265626,0.9627734107997264
stadia,crew2,0929,7.677959121415499,14984882.961983975,60.61447501821926,22.690348512033513,0.90191647587471
stadia,crew2,0930,7.685427655393525,15269966.018153317,61.004002266438505,24.25831676749864,0.9974883340117949
stadia,crew2,1008,7.8041642228739,15858082.621467005,60.43958975575173,11.001923859343215,1.0
stadia,crew2,1010,7.499912023460411,15873637.839813596,60.60327614485247,11.03774193548387,0.996021505376344
stadia,crew2,1025,8.473803827751194,6951405.378148287,60.587405081455366,11.0,4.013501222318091
stadia,crew2,1026,8.457293189125986,7049909.742779214,60.62904541782031,11.0,4.44924973204716
stadia,crew2,1027,8.875562700964633,7070515.736077453,60.602075290653254,11.0,4.467569531491272
stadia,crew2,1028,8.611049400760013,6379316.25524692,60.600398109871534,11.0,4.0
stadia,crew2,1101,8.353463899444607,6832682.984821972,60.62413998231621,11.0,4.027524467169188
stadia,crew2,1102,8.972494172494173,6931389.773303547,60.56387151927215,11.0,4.0
stadia,crew2,1104,8.435048231511256,6932903.367837622,60.60131404847187,11.0,3.996677384780279
stadia,crew2,1105,8.345571470330313,6863401.026278883,60.618999531547885,11.0,3.99957127545552
stadia,crew2,1108,8.759965034965031,7009026.141604503,60.61909362287251,11.0,4.373717948717948
stadia,crew2,1110,8.519584916691027,6924293.079590819,60.62832734292338,11.0,4.3753483386923895
stadia,fc5,0908,7.739568567026195,15417993.863709385,60.80972855615128,19.508050291329976,0.9725905632383112
stadia,fc5,0909,8.453865182436612,17305668.021697327,60.6201462889911,11.009516615794263,0.935465379230016
stadia,fc5,0911,7.468089680589681,16717966.878581598,60.84116914667065,20.70390540527711,1.0326091258622638
stadia,fc5,0912,7.748212121212121,17519130.231054917,60.38603618948809,12.455638456948417,0.747310792233788
stadia,fc5,0913,8.446666666666667,17121746.73371158,61.078510614025866,11.534283479455695,13.247332652779198
stadia,fc5,0914,7.717583732057416,16901402.318876833,60.54874110681334,11.000111507582515,0.9838183913172762
stadia,fc5,0921,8.316252805836138,16892564.287543897,60.66283721833741,29.93141429710284,3.9278124467912425
stadia,fc5,0923,7.939597315436242,16467272.166343465,60.62196121831554,14.01425555198555,0.9949664429530202
stadia,fc5,0924,8.027241700279243,17498959.132461525,60.77735339265453,18.664491219570454,3.092694146334337
stadia,fc5,0928,8.164915824915823,15725247.953893539,60.97442914089171,16.488830030190652,1.7062792839005878
stadia,fc5,0929,8.409742475954081,16307935.739503024,60.669799564182966,25.197078151396724,9.48210433166249
stadia,fc5,1007,8.212192155670419,17294899.359689068,60.561017426080994,29.636418938525207,1.0155570345659568
stadia,fc5,1008,7.8998489882210805,16459888.701050455,60.39139088884172,27.615431260039067,0.9996124031007751
stadia,fc5,1010,7.855272727272727,17077516.382054005,60.748314023272066,27.389961421595185,0.9291666666666667
stadia,fc5,1025,8.200147102088847,7150743.165499828,60.569598965672185,11.0,4.292826321467096
stadia,fc5,1026,8.91694616063548,6845290.991646547,60.583172150480486,11.0,4.659223300970874
stadia,fc5,1027,8.977669902912622,7120353.133389511,60.514844107879995,11.0,4.65591258569068
stadia,fc5,1028,8.610616028708131,6912278.311396977,60.57618164314144,11.0,3.9985745614035086
stadia,fc5,1101,8.71932551319648,6911697.939053889,60.584569880110315,11.0,4.081074387449321
stadia,fc5,1102,8.636891495601171,6970700.435095426,60.556500793633205,11.0,3.9965591397849463
stadia,fc5,1104,8.566070381231672,7005328.978607202,60.567877442061274,11.0,4.094677419354839
stadia,fc5,1105,8.792228739002933,6863718.742012939,60.56835094457282,11.0,4.071930270355863
stadia,fc5,1108,8.4916715542522,6991528.301819556,60.57942333145104,11.0,4.05516129032258
stadia,fc5,1109,7.999208211143694,6894272.247262462,60.56912215270324,11.0,4.133202890886657
stadia,fc5,1110,8.47922918505443,6933209.530370061,60.56503540994939,11.0,4.021054796774725
